Group,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,26.7422680412,60.1237113402,27.5979381443,1382.98969072,4.76494845361,11.6804123711,0.407943512798,2.04639175258,5.78453608247,0.353769381572,2.71958762887,5.88969072165,0.461753894626,1.67010309278,0.765957446809,0.962886597938,4.01958762887,4.97835051546,2.30103092784,1.10412371134,0.471134020619,1.52680412371,3.00412371134,13.2443298969
17,25.5873015873,44.1111111111,11.2222222222,828.412698413,3.98571428571,9.99365079365,0.398824650572,0.969841269841,3.2126984127,0.301877470356,3.01111111111,6.78571428571,0.443742690058,1.37301587302,0.686507936508,1.00793650794,3.64920634921,4.66031746032,3.65873015873,1.40793650794,0.377777777778,1.94285714286,3.04126984127,10.2936507937
18,26.5737704918,60.5737704918,35.7540983607,1661.8852459,6.16147540984,14.4442622951,0.426569061401,1.44918032787,4.25901639344,0.3402617398,4.70819672131,10.1803278689,0.462479871176,3.29754098361,0.78805093046,0.881967213115,3.78196721311,4.65983606557,4.85737704918,1.28606557377,0.343442622951,2.55655737705,2.60409836066,17.0647540984
3,24.9,9.05,0.15,46.3,2.935,10.09,0.290882061447,0.475,2.075,0.228915662651,2.45,8.02,0.305486284289,2.325,0.670028818444,1.775,3.35,5.115,1.205,1.46,0.315,2.585,6.16,8.675
20,23.1666666667,2.5,0.0,6.0,5.46666666667,11.8833333333,0.460028050491,0.466666666667,2.51666666667,0.185430463576,5.0,9.35,0.534759358289,0.0,nan,4.18333333333,10.9666666667,15.1333333333,4.98333333333,0.0,2.46666666667,3.38333333333,7.2,11.3833333333
22,26.0,42.6666666667,42.0,1440.66666667,7.93333333333,15.7333333333,0.504237288136,0.433333333333,1.53333333333,0.282608695652,7.5,14.1666666667,0.529411764706,8.8,0.87417218543,1.73333333333,5.26666666667,7.0,5.96666666667,1.26666666667,0.666666666667,3.03333333333,2.4,25.1666666667
6,25.0,2.5,0.0,22.5,1.25,17.35,0.0720461095101,0.0,1.25,0.0,1.25,16.1,0.0776397515528,0.0,nan,0.0,0.4,0.4,5.45,0.85,0.0,0.85,0.4,2.5
23,28.3214285714,48.8214285714,8.53571428571,791.428571429,3.33571428571,9.11071428571,0.366130929047,2.13571428571,6.25714285714,0.341324200913,1.21071428571,2.85714285714,0.42375,0.625,0.732217573222,0.521428571429,3.37142857143,3.88928571429,2.55714285714,0.946428571429,0.389285714286,1.5,3.43571428571,9.41428571429
24,32.0,2.0,0.0,19.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,nan,0.0,1.9,1.9,3.8,0.0,0.0,0.0,0.0,0.0
11,26.7866666667,55.2133333333,27.9066666667,1190.7,5.38866666667,10.8233333333,0.497874961503,0.125333333333,0.473333333333,0.264788732394,5.26266666667,10.35,0.50847020934,2.42866666667,0.662243228504,3.21866666667,6.60266666667,9.82133333333,1.75333333333,0.948,1.39733333333,1.91266666667,4.08,13.342
